Distance,Size,Direction,Time,Distance Traveled,Errors
600,128,1,0.8065505027770996,82.73451516749222,0
400,256,-1,0.4972827434539795,195.0640920313116,0
400,196,1,0.5523965358734131,143.68368035375485,0
400,128,1,0.6539614200592041,132.4009063413087,0
500,128,1,0.7365932464599609,86.83317338436964,0
300,256,-1,0.4508340358734131,179.51323071016242,0
300,196,-1,0.5617752075195312,165.19382555047267,0
500,64,-1,0.6952121257781982,43.04648650006177,0
300,196,-1,0.623093843460083,157.4102919125684,0
600,128,1,0.5699493885040283,106.60675400742676,0
600,196,1,0.609722375869751,64.53681120105021,0
600,64,1,0.691692590713501,34.438350715445125,0
400,256,1,0.5697054862976074,230.7639486574972,0
300,196,-1,0.42703747749328613,141.79210133149166,0
400,64,1,0.9813659191131592,61.741396161732524,1
500,196,-1,0.4884026050567627,163.41664541900252,0
600,256,-1,0.44951367378234863,203.83571816538927,0
300,64,-1,1.1155171394348145,41.86884283091664,2
600,196,-1,0.5901803970336914,221.32555207205516,0
500,256,-1,0.7713489532470703,224.1807306616695,1
300,256,1,0.5008084774017334,211.29363454680788,0
500,128,1,0.6353580951690674,128.82546332150332,0
400,64,1,0.731433629989624,40.718546143004666,0
400,196,1,0.5713212490081787,84.40379138403677,0
500,196,1,1.093071460723877,112.72089424769483,0
500,256,1,0.6786127090454102,163.3799253274404,0
300,196,-1,0.7179841995239258,136.8575902169843,0
600,128,-1,1.161329746246338,114.28035701729323,0
300,64,1,0.6946396827697754,46.09772228646444,0
500,128,1,0.9066054821014404,66.48308055437865,1
300,196,1,0.5498700141906738,102.55242561733974,0
500,196,1,0.6584253311157227,186.76188047886004,0
300,256,1,0.6856529712677002,153.9415473483361,0
600,64,-1,0.9765477180480957,64.03124237432849,0
500,64,1,0.7980759143829346,34.132096331752024,0
500,256,-1,0.7531733512878418,207.71133815947553,0
400,256,-1,1.3521416187286377,253.03161857759991,0
600,256,1,2.374023675918579,113.86395390991831,0
600,64,1,0.7379641532897949,61.773780845922005,0
300,64,-1,0.9392740726470947,37.21558813185679,0
300,256,1,1.1815662384033203,169.92056967889437,0
400,256,1,0.578423023223877,234.55702931270255,0
300,256,-1,0.5418775081634521,208.70074269153906,0
300,64,-1,1.8717658519744873,26.0,1
500,64,1,1.5994899272918701,70.03570517957252,0
400,196,1,1.328995704650879,123.0447073221762,0
300,128,1,0.8726544380187988,81.68843247363729,1
500,64,1,0.6677944660186768,25.238858928247925,0
400,256,-1,0.62408447265625,248.55784035109414,0
300,196,-1,0.5832736492156982,113.37107214805724,0
600,196,-1,0.806941032409668,103.4842983258813,0
300,128,1,0.6305146217346191,121.79490958164057,0
500,196,1,0.5555744171142578,126.15070352558483,0
600,256,1,0.5409336090087891,182.5267103741258,0
400,64,-1,0.679811954498291,40.8166632639171,0
500,64,1,0.5550415515899658,44.10215414239989,0
600,64,1,0.7039322853088379,16.401219466856727,0
600,128,1,0.5488061904907227,71.19691004531025,0
400,64,1,0.9512307643890381,36.40054944640259,1
300,64,1,0.9365568161010742,78.40918313565064,0
300,196,1,0.7578756809234619,148.16544806398016,0
