Distance,Size,Direction,Time,Distance Traveled,Errors
500,196,-1,0.8633196353912354,162.3730273167314,0
600,64,1,1.0489609241485596,50.93132631298737,0
500,64,1,1.1271944046020508,67.08203932499369,0
400,64,1,1.7584545612335205,62.625873247404705,1
300,196,-1,0.6574208736419678,71.42128534267638,0
500,128,-1,1.1164896488189697,83.54639429682169,0
300,256,-1,0.7288799285888672,162.92636373527768,0
400,256,1,0.7725510597229004,204.47493733951845,0
500,128,-1,0.9451208114624023,74.81310045707235,0
300,64,-1,0.926034688949585,51.61395160225576,0
