Distance,Size,Direction,Time,Distance Traveled,Misclick
500,128,1,0.5765454769134521,82.76472678623425,0
600,128,1,2.3509795665740967,41.78516483155236,11
400,128,1,0.4940817356109619,107.20074626605917,0
600,64,1,0.8965370655059814,47.20169488482379,1
500,64,1,0.42971110343933105,73.06161783043132,0
400,256,-1,1.2174904346466064,206.31286920597077,4
500,196,1,1.1312980651855469,104.0096149401583,5
300,64,-1,0.7462928295135498,24.08318915758459,0
500,64,-1,0.6174228191375732,54.589376255824725,0
400,64,1,0.66811203956604,65.06919393998976,0
500,256,1,0.46179866790771484,153.88307249337075,0
600,196,-1,1.5543267726898193,149.84325143295575,5
400,128,-1,0.5598623752593994,92.80086206496145,0
500,196,-1,0.5965170860290527,188.79883474216678,0
300,128,-1,0.5728466510772705,126.65701717630967,1
300,64,1,0.6697854995727539,47.80167361086848,0
300,196,-1,0.5521271228790283,222.0923231451281,0
300,128,1,0.8385145664215088,81.83520025025906,1
500,128,-1,0.6203818321228027,111.94641575325224,0
400,196,1,0.5455262660980225,142.44297104455524,0
500,256,-1,0.5119268894195557,260.31711430484165,0
600,64,-1,0.64790940284729,58.7962583843564,0
400,196,-1,0.4911918640136719,170.53152201279386,0
600,128,-1,0.38692617416381836,132.7742444904131,0
300,256,-1,0.36114048957824707,190.58856209122308,0
600,196,1,0.6192290782928467,144.10065926289164,0
300,196,1,0.4311671257019043,68.62215385719105,0
400,64,-1,1.3142695426940918,54.20332093147061,4
400,256,1,0.5569648742675781,134.40238093129153,0
600,256,-1,0.8405885696411133,211.11608181282637,2
300,256,1,0.5002419948577881,139.51702405083043,0
