Distance,Size,Direction,Time,Distance Traveled,Errors
500,256,1,3.4638943672180176,219.82947936980608,2
600,256,-1,1.4719505310058594,251.7478897627545,0
600,256,-1,2.1667404174804688,254.62914208707534,1
300,64,1,1.3950755596160889,53.2634959423431,0
500,128,1,1.5742640495300293,125.25573839150046,0
500,256,-1,1.6081585884094238,74.04052944165107,0
600,64,-1,2.3618948459625244,54.56189146281496,1
400,256,1,1.884119987487793,225.0,0
600,128,-1,2.254490375518799,130.0,0
600,128,-1,1.4836773872375488,136.56134152826706,0
300,64,-1,1.37843656539917,32.802438933713454,0
600,64,1,2.1663436889648438,38.2099463490856,0
300,196,1,1.9920530319213867,171.89822570346675,0
300,196,1,1.9743201732635498,158.59697348940804,0
500,64,-1,1.700425624847412,38.897300677553446,0
400,196,1,1.488204002380371,143.7358688706476,0
600,256,1,1.6731510162353516,141.4955829699288,0
500,128,-1,1.7103826999664307,71.8679344353238,0
600,196,-1,1.322279453277588,140.6627171641441,0
400,196,1,1.746098518371582,127.12198865656563,0
500,64,1,5.803814888000488,50.0,0
300,256,-1,1.3264257907867432,121.6552506059644,0
600,196,1,2.0741660594940186,92.65527507918802,1
300,64,1,1.6944079399108887,46.04345773288535,0
300,196,-1,2.0196027755737305,119.77478866606278,0
400,64,1,1.50270676612854,49.57822102496216,0
400,256,1,1.4830374717712402,188.13824704190267,0
600,128,-1,1.625950813293457,118.29623831720095,0
400,196,-1,1.1999597549438477,212.14381914163798,0
400,64,-1,2.412393569946289,41.593268686170845,0
600,196,1,1.3170783519744873,107.78682665335315,0
600,256,-1,1.32143235206604,189.49670181826386,0
600,64,-1,2.032010078430176,38.48376280978771,0
300,196,1,1.3099687099456787,168.90825912311098,0
500,64,-1,1.5423610210418701,54.378304497290095,0
400,256,-1,1.1544973850250244,154.2886904474855,0
500,196,-1,1.7430260181427002,146.37281168304446,1
500,196,1,1.4383440017700195,201.79197209007103,0
600,128,1,2.2231340408325195,109.0,0
500,64,1,2.138960361480713,43.382023926967726,0
400,128,-1,1.4434833526611328,100.65783625729296,0
600,196,1,1.4069044589996338,139.44532978913278,0
600,256,1,1.7445991039276123,207.45360927204905,0
300,64,1,3.1570520401000977,29.206163733020468,1
300,256,-1,1.3278331756591797,229.98478210525147,0
500,128,1,1.2718708515167236,92.66067126888301,0
300,256,-1,1.4356529712677002,110.86027241532469,0
300,196,-1,1.084585428237915,148.05404418657398,0
500,256,1,2.0789456367492676,146.87409574189726,0
600,256,1,1.57020902633667,220.85742007005334,0
400,64,-1,1.8944623470306396,56.22277118748239,0
300,128,1,1.6354422569274902,92.63368717696602,0
500,128,-1,1.98587965965271,89.02246907382428,0
600,64,-1,1.8926279544830322,70.09279563550022,0
600,256,-1,1.4080381393432617,266.62520511009456,0
400,64,-1,1.6723549365997314,24.596747752497688,0
600,196,1,1.2943906784057617,99.72963451251589,0
500,196,1,1.6223945617675781,112.32987136109433,0
500,256,1,1.5458428859710693,134.84806264830058,0
300,64,-1,1.5952696800231934,63.15853069855251,0
600,256,1,0.9453282356262207,161.22654868228122,0
300,64,1,2.035416841506958,33.61547262794322,1
300,128,1,1.5676591396331787,63.702433234531945,0
500,128,1,1.7804930210113525,83.48652585896721,0
500,256,1,1.4375393390655518,192.46298345396187,0
400,64,-1,2.4238831996917725,69.42621983083913,0
600,128,-1,2.5422186851501465,140.06427096158393,0
400,64,-1,1.7115657329559326,21.2602916254693,0
500,196,1,1.4461519718170166,228.0021929719098,0
500,64,1,1.9135620594024658,54.74486277268398,0
400,64,1,1.725839614868164,35.17101079013795,0
400,196,1,1.2688612937927246,231.81458107720488,0
600,64,1,1.6822853088378906,62.76941930590086,0
500,196,-1,1.6891744136810303,187.25650856512306,0
300,196,1,1.165367841720581,166.50825805346713,0
500,256,-1,1.266995906829834,170.88300090997933,0
500,64,-1,1.5120093822479248,60.108235708594876,0
300,256,1,1.0364985466003418,201.67548190099856,0
400,64,-1,1.5133781433105469,44.40720662234904,0
300,128,-1,1.586031198501587,79.47955712005447,0
300,64,-1,1.5404598712921143,52.49761899362675,0
600,196,-1,1.6206068992614746,183.0027322200409,0
400,256,1,0.8879289627075195,277.96582523756405,0
600,128,1,2.076347589492798,99.64436762808022,0
400,64,-1,1.895845890045166,41.23105625617661,0
500,64,1,1.9526443481445312,49.658836071740545,0
300,196,1,1.524648904800415,99.80981915623332,0
400,128,1,1.454324722290039,56.64803615307419,0
400,196,-1,1.4271295070648193,177.73013250431114,0
400,256,-1,1.1442208290100098,213.3541656495134,0
500,128,-1,1.344722032546997,97.09788875150684,0
500,256,1,1.3660223484039307,165.41160781517118,0
300,256,-1,1.2852280139923096,161.37533888422976,0
400,196,1,1.5429177284240723,99.68951800465283,0
300,196,-1,1.2274675369262695,134.41726079637243,0
500,196,1,1.067058801651001,72.83543093852057,0
300,256,1,1.5301387310028076,161.75598906995685,0
400,128,-1,1.8010368347167969,144.06248644251562,0
500,256,1,1.5461039543151855,195.68597292601225,0
300,196,-1,1.3372764587402344,129.0155029444136,0
500,256,-1,1.1928036212921143,261.0938528575501,0
600,196,1,1.3726000785827637,117.34564329364768,0
300,128,-1,2.5260932445526123,121.85236969382254,1
300,256,1,1.2783918380737305,221.5784285529618,0
400,256,-1,1.0819480419158936,61.032778078668514,0
300,64,1,1.5452144145965576,60.8276253029822,0
300,128,1,1.1184499263763428,41.617304093369626,0
600,196,-1,1.6958036422729492,143.12232530251876,0
600,128,1,1.5152883529663086,52.46903848937962,0
300,128,1,1.689058780670166,87.69264507357501,0
600,64,-1,1.8413023948669434,31.38470965295043,0
400,196,-1,1.332932710647583,207.57649192526594,0
400,128,1,1.420485496520996,122.20065466273084,0
300,64,1,1.8995287418365479,54.91812087098393,0
400,196,1,1.4576568603515625,101.51354589413178,0
400,64,1,2.3933331966400146,38.600518131237564,0
300,128,-1,1.572005271911621,72.94518489934754,1
