Distance,Size,Direction,Time,Distance Traveled,Misclick
600,256,1,0.554736852645874,188.0026595556563,0
600,128,-1,0.6076276302337646,136.1800279042415,0
300,64,1,2.462832450866699,55.90169943749474,9
400,64,-1,0.6448466777801514,39.824615503479755,9
300,196,1,0.4748373031616211,117.0341830406826,9
600,196,1,0.4717562198638916,93.38094023943002,9
400,196,1,0.4158661365509033,86.31338250816034,9
500,196,1,0.4981422424316406,130.0,9
600,64,1,0.6961822509765625,43.41658669218482,10
500,256,-1,0.5623307228088379,258.897663179875,10
400,128,1,0.9639778137207031,99.48869282486326,11
300,64,-1,0.5948266983032227,54.817880294662984,11
600,128,1,0.5547187328338623,120.06664815842908,11
500,128,1,0.4320862293243408,93.02150289046077,11
400,256,-1,0.6315486431121826,250.4595775769016,11
300,128,-1,0.5512542724609375,111.12605455067681,11
400,128,-1,0.7469620704650879,93.50935782048768,12
500,128,-1,0.577620267868042,109.04127658827184,12
500,256,1,2.5035667419433594,149.093930124603,19
300,256,-1,0.6277256011962891,179.655225362359,19
300,256,1,1.0670809745788574,185.29975715040752,21
600,256,-1,0.6500487327575684,223.80795338861395,21
500,64,1,0.9853415489196777,72.34638899074369,23
500,196,-1,0.9254794120788574,137.71347065556077,25
600,196,-1,0.49365878105163574,190.4337155022713,25
400,196,-1,0.2604050636291504,130.60245020672468,25
600,64,-1,0.7771215438842773,60.41522986797286,27
300,128,1,0.8364019393920898,81.05553651663777,30
400,64,1,0.5316293239593506,26.870057685088806,32
500,64,-1,0.8275680541992188,45.09988913511872,35
300,196,-1,0.37448549270629883,123.82245353731285,36
